,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
<start>,23.424577713012695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
involves,4.887412071228027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
clouded,4.33022403717041,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
merge,4.225001811981201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
danish,3.9932515621185303,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,0,8.89945125579834,0,0,0,8.714329719543457,10.45040225982666,0,0,0,5.089328765869141,0,0,0,0,0,0,0,0,0
the,0,6.5088582038879395,0,0,0,7.649104595184326,10.813393592834473,0,0,0,5.639334201812744,0,4.351686477661133,4.854415416717529,5.973677158355713,4.380307674407959,5.00724983215332,5.296258926391602,5.87150764465332,4.395511150360107
two,0,6.4348883628845215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
an,0,6.221899509429932,0,0,0,0,7.376206398010254,0,0,0,0,0,0,0,0,0,0,0,0,0
several,0,5.652596473693848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
man,0,0,7.690013408660889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
person,0,0,6.5734124183654785,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
small,0,0,5.8641581535339355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
large,0,0,5.862824440002441,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
woman,0,0,5.843659400939941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is,0,0,0,8.707907676696777,0,0,0,0,0,0,0,4.285326957702637,0,0,0,4.357884883880615,0,0,0,0
riding,0,0,0,8.672059059143066,8.674381256103516,0,0,0,5.5196733474731445,0,0,0,0,0,0,0,0,0,0,0
on,0,0,0,7.948551654815674,8.436474800109863,9.054162979125977,0,0,7.575798034667969,5.506964206695557,4.741389751434326,4.4605793952941895,0,0,0,0,0,4.484023571014404,0,4.425997734069824
in,0,0,0,7.923947811126709,0,9.29101276397705,0,0,5.855513572692871,0,5.270649433135986,5.3520612716674805,3.7779533863067627,5.091122627258301,5.519543170928955,6.428875923156738,5.128861904144287,5.749444007873535,5.394114971160889,6.517253398895264
standing,0,0,0,7.281618118286133,7.908421993255615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surfing,0,0,0,0,9.070053100585938,0,0,0,0,6.1199846267700195,0,0,0,0,0,0,0,0,0,0
sitting,0,0,0,6.8076701164245605,7.879613399505615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
through,0,0,0,0,0,8.504412651062012,0,0,0,0,0,0,0,0,0,0,0,0,0,0
choppy,0,0,0,0,0,0,7.389288902282715,0,0,0,0,0,0,0,0,0,0,0,0,0
some,0,5.137300491333008,0,0,0,0,7.363249778747559,0,0,0,0,0,0,0,0,0,0,0,0,0
ocean,0,0,0,0,0,0,0,11.502699851989746,0,0,0,0,0,0,0,0,0,0,0,0
water,0,0,0,0,0,0,0,10.359970092773438,6.43311071395874,0,0,0,0,0,0,0,0,0,0,0
middle,0,0,0,0,0,0,0,9.65471076965332,0,0,0,0,0,0,0,0,0,0,0,0
waves,0,0,0,0,0,6.991153240203857,6.492316722869873,9.0082368850708,8.003936767578125,6.853804588317871,0,0,0,0,0,0,0,0,0,0
air,0,0,0,0,0,0,0,8.558351516723633,0,0,0,0,0,0,0,0,0,0,0,0
waters,0,0,0,0,0,0,0,8.164522171020508,8.996038436889648,5.724504470825195,0,0,0,0,0,0,0,0,0,0
with,0,0,0,7.25783109664917,0,6.648664474487305,0,0,7.051212310791016,0,5.071390151977539,4.783914089202881,0,0,0,4.38857889175415,0,4.421238899230957,0,4.695962905883789
.,0,0,0,0,0,0,0,0,0,8.363563537597656,7.574730396270752,7.788361549377441,6.508550643920898,7.700431823730469,7.067301273345947,8.11960220336914,7.610715389251709,8.307842254638672,6.505402565002441,8.164637565612793
<end>,0,0,0,0,0,0,0,0,0,7.8816423416137695,16.29979705810547,9.106440544128418,6.810118198394775,7.170482158660889,15.723837852478027,9.309237480163574,7.973599433898926,8.215719223022461,15.370187759399414,9.547871589660645
edge,0,0,0,0,0,0,0,0,0,6.680205345153809,0,0,0,0,0,0,0,0,0,0
and,0,0,0,6.817271709442139,0,0,0,0,0,0,6.194602966308594,4.924171447753906,0,4.027920246124268,6.003535747528076,5.5642924308776855,4.472424507141113,4.84522819519043,5.809828281402588,4.831874370574951
there,0,5.621640205383301,0,0,0,0,0,0,0,0,6.037811756134033,4.256424427032471,3.960111379623413,0,5.985388278961182,0,0,0,0,0
him,0,0,0,0,0,0,0,0,0,0,0,0,4.26107120513916,4.2771897315979,0,5.42156457901001,5.199891567230225,5.722233772277832,0,6.075170993804932
his,0,0,0,0,0,0,7.327267646789551,0,0,0,0,0,4.113311290740967,4.027887344360352,0,0,3.644850492477417,0,0,0
to,0,0,0,0,0,0,0,0,0,0,0,4.7466559410095215,3.7897489070892334,4.706948757171631,0,4.949695110321045,3.78369402885437,4.615176677703857,0,4.505470275878906
'',0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.059060096740723,0,0,0,8.095531463623047,0
behind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.8405914306640625
