,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
<start>,21.08698081970215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
white,4.888506889343262,0,7.491922855377197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group,3.8245668411254883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dog,3.15179443359375,0,0,5.36945104598999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
yellow,3.0925791263580322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,2.8615198135375977,9.521455764770508,0,0,0,8.156095504760742,10.10559368133545,0,0,9.089417457580566,0,6.852015972137451,4.92160701751709,3.666620969772339,4.870725154876709,0,3.727457284927368,0,4.730173110961914,0
the,0,6.646574974060059,0,0,0,0,0,0,0,0,0,0,3.6530542373657227,0,5.039669036865234,3.815502643585205,3.817190170288086,0,5.297093868255615,3.9856696128845215
two,0,6.4602861404418945,0,0,0,0,8.080409049987793,0,0,0,0,0,0,0,0,0,0,0,0,0
an,0,6.132907390594482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
there,0,6.131848335266113,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plate,0,0,7.3505730628967285,10.143128395080566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bowl,0,0,6.999057769775391,8.473814964294434,0,0,0,7.202342510223389,0,0,0,0,0,0,0,0,0,0,0,0
small,0,0,6.395639896392822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sandwich,2.5674848556518555,0,6.352583408355713,0,0,0,0,9.556952476501465,0,0,0,0,0,0,0,0,0,0,0,0
and,0,0,0,7.080104827880859,0,6.732853889465332,0,0,11.413314819335938,0,6.481975078582764,4.764334201812744,4.894387245178223,4.4483513832092285,5.582550525665283,5.616806983947754,4.643113136291504,5.507046699523926,5.251893043518066,5.812366962432861
vase,0,0,0,6.068670749664307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cat,0,0,0,6.029296875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
topped,0,0,0,0,11.534143447875977,5.446682453155518,0,0,0,0,0,0,0,0,0,0,0,0,0,0
with,0,0,0,0,11.48345947265625,13.762778282165527,0,0,9.025947570800781,0,7.768952369689941,6.150121688842773,4.121059417724609,3.823072910308838,5.123291015625,3.7755649089813232,0,4.021057605743408,0,0
holding,0,0,0,0,9.360979080200195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
of,0,0,0,0,9.246649742126465,5.03375768661499,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filled,0,0,0,0,9.077010154724121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in,0,0,0,0,0,6.6153717041015625,0,0,7.457345008850098,0,0,0,4.502368927001953,4.178714752197266,0,5.314724922180176,4.397416591644287,5.2620038986206055,0,5.2160139083862305
on,0,0,0,0,0,6.256722450256348,0,0,9.38470458984375,0,8.460775375366211,6.107006549835205,4.34810209274292,3.979623794555664,5.300235271453857,4.872255802154541,4.11939811706543,4.662204265594482,4.623457431793213,4.7203898429870605
meat,0,0,0,0,0,0,8.100937843322754,0,0,0,0,0,0,0,0,0,0,0,0,0
food,0,0,0,0,0,5.731515407562256,7.941817760467529,0,0,0,0,0,0,0,0,0,0,0,0,0
lots,0,0,0,0,0,0,7.49309778213501,0,0,0,0,0,0,0,0,0,0,0,0,0
piece,0,0,5.993658542633057,0,0,0,0,8.060376167297363,0,0,0,0,0,0,0,0,0,0,0,0
cut,0,0,0,0,0,0,0,8.036467552185059,7.693683624267578,0,0,0,0,0,0,0,0,0,0,0
banana,0,0,6.004183292388916,0,0,0,0,8.007457733154297,0,0,0,0,0,0,0,0,0,0,0,0
hot,0,0,0,0,0,0,0,7.541828632354736,0,0,0,0,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0,10.000985145568848,0,5.713560581207275,0,0,3.6022000312805176,0,0,3.907048463821411,5.000632286071777,0,4.293270587921143
next,0,0,0,0,0,0,0,0,8.168033599853516,0,7.037162780761719,0,0,0,0,0,0,0,0,0
chips,0,0,0,0,0,0,0,0,0,9.3785400390625,0,0,0,0,0,0,0,0,0,0
fries,0,0,0,0,0,0,0,0,0,9.23741340637207,0,0,3.992220163345337,3.804327964782715,0,0,0,0,0,0
french,0,0,0,0,0,0,0,0,0,8.370141983032227,0,0,0,0,0,0,0,0,0,0
salad,0,0,0,0,0,0,0,7.06834077835083,0,7.419444561004639,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,6.880659103393555,0,11.094903945922852,6.364194393157959,6.621909141540527,6.337304592132568,4.725779056549072,7.005469799041748,5.9427618980407715,6.6699299812316895,0,6.506858825683594
plus,0,0,0,0,0,0,0,0,0,0,7.677336692810059,0,0,0,0,0,0,0,0,0
<end>,0,0,0,0,0,0,0,0,0,0,7.630125045776367,13.789034843444824,6.885361671447754,6.317612648010254,14.333800315856934,8.595891952514648,6.809946060180664,6.51049280166626,13.52180290222168,8.430142402648926
one,0,0,0,0,0,0,0,0,0,0,0,5.324410915374756,0,0,5.110199451446533,0,0,0,0,0
is,0,0,0,0,7.818356513977051,0,0,0,0,0,0,5.406981945037842,0,0,5.103476524353027,4.937183380126953,4.409400939941406,4.83959436416626,4.6782755851745605,5.134772300720215
'',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.81187629699707,0
<unk>,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5479869842529297,4.9383769035339355,0,3.7267537117004395,4.0853190422058105,5.306082725524902,0
