,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
<start>,23.720680236816406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group,4.806277275085449,0,7.117610454559326,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
observers,4.294569969177246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
steamboat,4.197848320007324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
airshow,4.175617694854736,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,0,9.23426342010498,0,0,11.749711990356445,0,0,11.572253227233887,7.225608825683594,12.41274642944336,0,0,0,5.46893310546875,4.936041831970215,5.845376014709473,4.127213478088379,0,0,0
the,0,7.026332855224609,0,0,7.990633010864258,0,0,10.615546226501465,0,8.792880058288574,0,0,0,6.323330879211426,4.434138298034668,6.968749046325684,4.442656993865967,3.2352991104125977,0,6.086801528930664
two,0,6.620212554931641,0,0,0,0,0,0,0,6.6541852951049805,0,0,0,0,0,0,0,0,0,0
there,0,6.044956684112549,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
an,0,5.505725860595703,0,0,7.537625312805176,0,0,7.835393905639648,5.049835681915283,8.80814266204834,0,0,0,0,0,0,0,0,0,0
man,0,0,8.024679183959961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
person,0,0,7.065392017364502,0,0,0,0,0,0,0,0,0,0,0,0,4.733078956604004,0,0,0,5.401952266693115
young,0,0,6.867196083068848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
woman,0,0,6.60934591293335,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
riding,0,0,0,8.519942283630371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in,0,0,0,7.8271284103393555,5.841951847076416,0,8.9285306930542,0,5.667370796203613,0,0,0,5.335707664489746,5.520310878753662,4.907903671264648,4.918065547943115,4.766006946563721,3.8188416957855225,5.983635902404785,5.270705223083496
is,0,0,0,7.798827171325684,0,0,0,0,0,0,0,0,0,0,0,5.217047214508057,4.366244316101074,3.309481620788574,3.813389301300049,4.861917972564697
on,3.7813634872436523,0,0,7.74318265914917,8.900007247924805,0,10.269185066223145,0,5.501908779144287,0,0,0,4.680150985717773,5.842419147491455,4.510814666748047,5.037452697753906,0,0,4.386502742767334,5.252022743225098
with,0,0,0,7.359547138214111,0,0,7.699779510498047,0,6.014747142791748,0,0,0,5.824719429016113,5.6966681480407715,4.746338844299316,0,4.1472954750061035,3.1441032886505127,0,0
skis,0,0,0,0,8.650586128234863,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
his,0,0,0,0,7.935987949371338,0,0,6.640995979309082,0,0,0,0,0,0,0,0,0,0,0,0
skateboard,0,0,0,0,0,10.703720092773438,0,0,0,0,7.675930976867676,0,0,0,0,0,0,0,0,0
surfboard,0,0,0,0,0,9.404123306274414,0,0,0,0,0,0,0,0,0,0,0,0,0,0
wave,0,0,0,0,0,9.009156227111816,0,0,0,0,0,0,0,0,0,0,0,0,0,0
motorcycle,0,0,0,0,0,8.490273475646973,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snowboard,0,0,0,0,0,8.34379768371582,0,0,0,0,0,0,0,0,0,0,0,0,0,0
down,0,0,0,0,6.455172538757324,0,9.490437507629395,0,0,0,0,0,0,0,0,0,0,0,0,0
up,0,0,0,0,0,0,9.021628379821777,0,0,0,0,0,0,0,0,0,0,0,0,0
while,0,0,0,0,0,0,8.49886417388916,0,0,0,0,0,0,5.0620245933532715,0,0,0,0,0,0
top,0,0,0,0,0,0,0,12.325786590576172,0,0,0,0,0,0,0,0,0,0,0,0
cement,0,0,0,0,0,0,0,7.575716018676758,6.667383193969727,9.960143089294434,9.671730995178223,0,0,0,0,0,0,0,0,0
of,0,0,0,0,0,0,0,0,14.701431274414062,0,0,0,0,0,3.9430859088897705,0,4.302742958068848,0,0,0
some,0,5.328556537628174,0,0,5.654740810394287,0,0,6.475013732910156,0,7.4962005615234375,0,0,0,0,0,0,0,0,0,0
wooden,0,0,0,0,0,0,0,0,0,0,8.8629150390625,0,0,0,0,0,0,0,0,0
ramp,0,0,0,0,0,0,0,0,0,0,7.815684795379639,7.584550380706787,4.694596290588379,0,0,0,0,0,0,0
rail,0,0,0,0,0,0,0,0,0,0,7.580712795257568,0,0,0,0,0,0,0,0,0
block,0,0,0,0,0,0,0,0,0,0,0,8.542031288146973,0,0,0,0,0,0,0,0
covered,0,0,0,0,0,0,0,0,0,0,0,7.953970909118652,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,7.8163299560546875,9.756916046142578,7.301339149475098,8.102203369140625,5.238973617553711,7.0971856117248535,5.53373384475708,6.728835582733154,0
walkway,0,0,0,0,0,0,0,0,0,0,0,7.541354179382324,0,0,0,0,0,0,0,0
<end>,0,0,0,0,0,0,0,0,0,0,0,0,6.166492938995361,15.264954566955566,7.688114643096924,15.503517150878906,7.881139278411865,6.182425022125244,6.5030293464660645,14.095040321350098
wall,0,0,0,0,0,0,0,0,0,0,0,7.435518264770508,6.014916896820068,0,0,0,0,0,0,0
one,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.334688663482666,0,0,0,4.792230129241943
and,0,0,0,6.824317932128906,0,0,0,0,5.027875900268555,0,0,0,0,0,0,5.3004374504089355,4.600348472595215,4.03946590423584,5.279343128204346,5.014595985412598
shoes,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.5422537326812744,0,0
behind,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.0177018642425537,5.355960369110107,0
