,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
<start>,16.369312286376953,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
small,4.61659049987793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
woman,3.785552978515625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
two,3.62188458442688,6.191043376922607,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
people,3.4957165718078613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,0,9.68492603302002,0,0,0,0,9.181461334228516,0,0,9.686234474182129,0,0,0,0,0,0,0,0,0,0
the,0,6.400289058685303,0,0,0,0,0,0,0,0,0,0,0,0,5.250434398651123,0,0,0,0,0
an,0,6.1408891677856445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
some,0,6.065446853637695,0,0,0,0,7.657217502593994,0,0,0,0,0,0,0,0,0,0,0,0,0
plate,0,0,8.343314170837402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
table,0,0,7.209272384643555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bunch,0,0,7.11018180847168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
large,0,0,6.862973690032959,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
close,0,0,6.55311393737793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
of,0,0,0,11.832862854003906,0,0,0,0,7.1668829917907715,0,0,0,0,0,0,0,0,0,0,0
with,0,0,0,10.876679420471191,0,10.706892967224121,0,0,0,0,0,7.437568664550781,0,0,0,0,0,0,0,0
filled,0,0,0,9.784930229187012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
topped,0,0,0,9.704044342041016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
that,0,0,0,9.17900562286377,0,9.456584930419922,0,0,0,0,0,0,0,0,0,0,0,0,0,0
food,0,0,0,0,9.977972030639648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pasta,0,0,0,0,7.825682640075684,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pizza,0,0,0,0,7.711678504943848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rice,0,0,0,0,7.4913763999938965,0,8.086325645446777,0,0,0,0,0,0,0,0,0,0,0,0,0
vegetables,0,0,0,0,7.412588119506836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
on,0,0,0,0,0,9.193211555480957,0,0,8.762681007385254,0,0,9.636931419372559,6.44218635559082,7.01329231262207,6.01426362991333,6.324787616729736,6.588171005249023,6.525916576385498,0,6.690128326416016
and,0,0,0,0,0,8.974137306213379,0,0,10.145145416259766,0,0,0,0,0,0,5.862339019775391,6.057519912719727,6.13629674911499,5.711758136749268,5.945972919464111
containing,0,0,0,0,0,8.847393035888672,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meat,0,0,0,0,0,0,7.7669172286987305,0,0,0,0,0,0,0,0,0,0,0,0,0
chicken,0,0,0,0,0,0,7.147945404052734,0,0,0,0,0,0,0,0,0,0,0,0,0
sandwich,0,0,0,0,0,0,0,8.051289558410645,0,0,0,0,0,0,0,0,0,0,0,0
salad,0,0,0,0,0,0,0,8.042485237121582,0,8.508537292480469,10.48723316192627,0,0,0,0,0,0,0,0,0
fork,0,0,0,0,0,0,0,7.6746110916137695,0,0,8.772025108337402,0,0,0,0,0,0,0,0,0
side,0,0,0,0,0,0,0,6.893301010131836,0,0,0,0,0,0,0,0,0,0,0,0
lot,0,0,0,0,0,0,0,6.793018817901611,0,0,0,0,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,0,8.354667663574219,0,0,0,0,0,0,0,0,0,0,0
cut,0,0,0,0,0,0,0,0,7.5676493644714355,0,0,0,0,0,0,0,0,0,0,0
fries,0,0,0,0,0,0,0,0,0,8.640117645263672,0,0,0,0,0,0,0,0,0,0
french,0,0,0,0,0,0,0,0,0,8.303802490234375,0,0,0,0,0,0,0,0,0,0
potato,0,0,0,0,0,0,0,0,0,8.262589454650879,0,0,0,0,0,0,0,0,0,0
drink,0,0,0,0,0,0,0,0,0,0,9.221073150634766,0,0,0,0,0,0,0,0,0
cup,0,0,0,0,0,0,0,0,0,0,9.170727729797363,0,0,0,0,0,0,0,0,0
bowl,0,0,0,0,0,0,0,0,0,0,8.075278282165527,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,10.262343406677246,6.699020862579346,7.743827819824219,7.292717933654785,8.50490665435791,8.515061378479004,8.286727905273438,6.258191108703613,7.343221664428711
<end>,0,0,0,0,0,0,0,0,0,0,0,9.04198169708252,15.237833976745605,8.914087295532227,7.757870674133301,8.676413536071777,8.64023494720459,8.16186809539795,14.630036354064941,8.583952903747559
in,0,0,0,0,0,0,0,0,0,0,0,7.293407440185547,5.8143181800842285,5.899753570556641,0,5.2293381690979,5.447250843048096,5.252679824829102,0,5.968142509460449
it,0,0,0,0,0,0,0,0,0,0,0,0,6.295080184936523,5.374118804931641,5.3830437660217285,0,0,0,6.106021404266357,0
),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4556756019592285,0
