,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
<start>,24.977949142456055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
focal,6.572429180145264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
lasso,5.959379196166992,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
highest,5.657437801361084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
smallest,5.654525279998779,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,0,9.671072959899902,0,0,0,0,10.560606002807617,0,0,9.348034858703613,0,0,3.9577653408050537,0,0,0,0,0,0,0
the,0,7.141794681549072,0,0,0,0,9.704731941223145,0,0,6.056504249572754,0,0,0,4.421175003051758,5.119516849517822,4.693840980529785,4.933496475219727,5.175743579864502,5.140986919403076,5.080146789550781
two,0,7.014718532562256,0,0,0,0,4.403064250946045,0,0,0,0,0,0,0,0,0,0,0,0,0
an,0,6.597537994384766,0,0,0,0,6.281927108764648,0,0,6.799901962280273,0,0,0,0,0,0,0,0,0,0
this,0,5.818109512329102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
man,0,4.525356292724609,7.809808254241943,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
woman,0,0,6.708578586578369,0,0,0,0,0,0,0,5.288560390472412,0,0,0,0,0,0,0,0,0
couple,0,0,6.45985746383667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
person,0,0,6.3590497970581055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
young,0,0,6.208010196685791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is,0,0,0,8.10922622680664,0,0,0,0,0,0,0,0,3.489029884338379,5.498575210571289,4.452053546905518,4.940403461456299,5.003119468688965,4.923504829406738,4.74796199798584,0
standing,0,0,0,7.9823455810546875,8.766432762145996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in,0,0,0,7.508544445037842,6.821715354919434,9.368083953857422,0,0,6.90731954574585,0,0,7.115312099456787,5.274040222167969,5.861602783203125,4.620856761932373,5.294241905212402,5.490979194641113,5.5369553565979,5.6049418449401855,5.202049255371094
with,0,0,0,7.225324630737305,0,7.738863945007324,0,0,7.478789329528809,0,0,0,3.7424113750457764,0,0,0,0,0,0,0
riding,0,0,0,6.9046101570129395,7.31512975692749,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitting,0,0,0,6.84476375579834,7.9126739501953125,0,0,0,0,0,0,5.886162757873535,0,0,0,0,0,0,0,0
walking,0,0,0,6.569286346435547,7.699650287628174,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
on,0,0,0,6.690100193023682,7.310736656188965,9.453964233398438,0,0,7.3921685218811035,0,0,9.038737297058105,5.0283002853393555,5.322437286376953,5.1648664474487305,5.672970771789551,5.779558181762695,5.920896053314209,6.083929061889648,5.252142429351807
next,0,0,0,0,0,8.96977710723877,0,0,0,0,0,5.618735313415527,0,0,0,0,0,0,0,0
outside,0,0,0,0,0,8.791738510131836,0,0,5.646592140197754,0,0,0,0,0,0,0,0,0,0,0
by,0,0,0,0,0,8.464885711669922,0,0,0,0,0,0,0,0,0,0,0,0,0,0
top,0,0,0,0,0,0,8.125478744506836,0,0,0,0,0,0,0,0,0,0,0,0,0
his,0,0,0,0,0,0,8.00742244720459,0,0,7.983700275421143,0,0,4.702205657958984,4.8488898277282715,4.4646220207214355,4.417343616485596,4.711411476135254,4.764369487762451,4.500448703765869,0
skateboard,0,0,0,0,0,0,0,8.021818161010742,0,0,6.874845027923584,0,0,0,0,0,0,0,0,0
tennis,0,0,0,0,0,0,0,7.8916707038879395,0,0,0,0,0,0,0,0,0,0,0,0
bench,0,0,0,0,0,0,0,7.3653082847595215,0,0,0,0,0,0,0,0,0,0,0,0
street,0,0,0,0,0,0,0,7.116537094116211,0,0,0,0,0,0,0,0,0,0,0,0
sidewalk,0,0,0,0,0,0,0,6.559518814086914,0,0,0,0,0,0,0,0,0,0,0,0
ramp,0,0,0,0,0,0,0,0,6.844065189361572,0,0,0,0,0,0,0,0,0,0,0
at,0,0,0,0,0,0,0,0,6.012759208679199,0,0,0,0,0,0,0,0,0,0,0
graffiti,0,0,0,0,0,0,0,0,0,5.648839950561523,0,0,0,0,0,0,0,0,0,0
backpack,0,0,0,0,0,0,0,0,0,0,6.898200035095215,0,0,0,0,0,0,0,0,0
helmet,0,0,0,0,0,0,0,0,0,0,6.874797344207764,0,0,0,0,0,0,0,0,0
skate,0,0,0,0,0,0,0,6.07034158706665,0,0,5.696084499359131,0,0,0,0,0,0,0,0,0
dog,0,0,0,0,0,0,0,0,0,0,5.681405067443848,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,9.980751037597656,6.007404327392578,6.739805698394775,6.424516677856445,7.54372501373291,7.763347625732422,7.758561134338379,7.746162414550781,6.172218322753906
