,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
<start>,20.40969467163086,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
person,3.672847270965576,6.059710502624512,9.479673385620117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in,3.605586051940918,0,0,8.397789001464844,0,0,10.126437187194824,0,0,0,5.008307933807373,5.547293186187744,5.07708740234375,5.467461109161377,5.565046787261963,5.583094120025635,5.032453536987305,6.499959468841553,6.39091157913208,6.261785984039307
surfer,3.518388032913208,0,7.702114582061768,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
on,3.462974786758423,0,0,8.978461265563965,0,0,8.42380142211914,0,0,6.84119176864624,5.452341556549072,6.031796455383301,4.908376216888428,5.022610664367676,5.149266719818115,5.174671173095703,0,6.091866493225098,5.526344299316406,5.737842559814453
a,0,10.463607788085938,0,0,11.888895034790039,0,0,9.764253616333008,0,0,6.120325565338135,0,4.845280647277832,4.6079421043396,0,0,0,0,0,0
two,0,7.889659404754639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the,0,7.546555042266846,0,0,8.721986770629883,0,0,11.7974214553833,0,0,0,0,4.580753803253174,4.646649360656738,4.705506801605225,4.675384044647217,4.397286891937256,0,5.2237348556518555,5.424239635467529
there,3.2085440158843994,6.921127796173096,0,0,0,0,0,0,0,0,5.358795166015625,0,0,0,0,0,0,0,0,0
an,0,6.433734893798828,0,0,7.137781143188477,0,0,7.453551292419434,0,0,0,0,0,0,0,0,0,0,0,0
man,0,5.786622524261475,9.369897842407227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
small,0,5.626928806304932,7.554074287414551,0,0,7.385682582855225,0,0,0,0,0,0,0,0,0,0,0,0,0,0
woman,0,0,7.340918064117432,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
riding,0,0,0,8.590235710144043,0,0,9.846244812011719,0,0,0,0,0,0,0,0,0,0,0,0,0
is,0,0,0,8.583139419555664,0,0,8.738776206970215,0,0,0,0,5.509532451629639,0,0,0,0,0,5.148766994476318,0,0
standing,0,0,0,7.72407341003418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
top,0,0,0,0,7.461489677429199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
water,0,0,0,0,7.35347843170166,0,0,8.442065238952637,13.236014366149902,7.55067777633667,5.707682132720947,0,0,0,0,0,0,0,0,0
surfboard,0,0,0,0,6.808865547180176,11.966105461120605,0,0,0,0,0,0,0,0,0,0,0,0,0,0
surf,0,0,0,0,0,11.036518096923828,0,0,8.150300979614258,0,0,0,0,0,0,0,0,0,0,0
boat,3.4166383743286133,0,6.902933120727539,0,0,9.039106369018555,0,0,0,0,0,0,0,0,0,0,0,0,0,0
beach,0,0,0,0,0,8.963974952697754,0,0,0,0,0,0,0,0,0,0,0,0,0,0
body,0,0,0,0,0,7.84675931930542,0,0,0,0,0,0,0,0,0,0,0,0,0,0
rides,0,0,0,0,0,0,8.491000175476074,0,0,0,0,0,0,0,0,0,0,0,0,0
calm,0,0,0,0,0,0,0,7.596128463745117,7.804837703704834,0,0,0,0,0,0,0,0,0,0,0
ocean,0,0,0,0,0,0,0,0,13.381865501403809,0,0,0,0,0,0,0,0,0,0,0
sea,0,0,0,0,0,0,0,0,10.28267765045166,0,0,0,0,0,0,0,0,0,0,0
waves,0,0,0,0,0,0,0,0,9.867768287658691,7.608750820159912,0,6.429062843322754,5.672902584075928,4.679813861846924,0,0,0,0,0,0
middle,0,0,0,0,0,0,0,0,9.393153190612793,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,10.68051528930664,7.068151473999023,8.050618171691895,7.746978759765625,8.210078239440918,8.651162147521973,8.721630096435547,7.620877742767334,8.796892166137695,8.14239501953125,8.932342529296875
<end>,0,0,0,0,0,0,0,0,0,9.503588676452637,16.428455352783203,8.752396583557129,8.296308517456055,8.438776969909668,8.787190437316895,8.65406608581543,15.966652870178223,9.203069686889648,8.262682914733887,8.581706047058105
with,0,0,0,7.126463413238525,0,0,6.938741207122803,0,0,6.894632816314697,5.18171501159668,4.3992018699646,0,0,0,0,4.543044567108154,5.229519844055176,4.887887477874756,0
one,0,0,0,0,0,0,0,0,0,0,6.1019511222839355,0,0,0,0,0,4.802213191986084,0,0,0
it,0,0,0,0,0,0,0,0,0,0,0,0,4.615394592285156,5.140519618988037,5.035207271575928,4.817756652832031,4.8324456214904785,0,0,0
into,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.210178375244141,5.632559776306152,0,0,5.185087203979492,5.5144219398498535
",",0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.124670505523682,5.551151275634766,4.755612373352051,6.753201961517334,5.631502628326416,6.1751251220703125
'',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.183438301086426,0,0,0
and,0,0,0,0,0,0,6.754943370819092,0,0,0,0,4.5631890296936035,0,0,4.967698097229004,5.042000770568848,4.5470075607299805,6.092459201812744,5.246959686279297,5.2765302658081055
