,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
<start>,19.533058166503906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cat,4.078625679016113,6.227543354034424,10.047245979309082,0,0,0,0,0,0,0,0,7.6073832511901855,5.866754055023193,0,5.044536590576172,0,0,0,0,0
close,4.00885534286499,0,7.434561729431152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
brown,3.867337942123413,0,7.399559020996094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is,3.8059232234954834,0,0,8.327702522277832,0,0,0,0,0,0,0,0,0,0,0,5.686995029449463,0,6.129859924316406,4.616315841674805,0
a,0,10.105051040649414,0,0,0,0,10.886846542358398,0,0,7.70140266418457,10.24537467956543,0,0,0,4.944821834564209,0,4.861369609832764,0,4.050069808959961,0
two,0,9.118605613708496,0,0,0,0,0,0,0,0,6.070040702819824,0,0,0,0,0,0,0,0,0
the,0,8.032187461853027,0,0,0,0,10.081092834472656,0,0,4.5845136642456055,7.241086959838867,0,0,0,0,0,5.63358736038208,0,0,5.662852764129639
an,0,6.85835599899292,0,0,0,0,6.392154216766357,0,0,0,6.294317722320557,0,0,0,0,0,0,0,0,0
three,0,6.361928939819336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
black,0,5.537362575531006,8.188933372497559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
couple,0,0,7.326149940490723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitting,0,0,0,7.817593097686768,9.008605003356934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laying,0,0,0,7.689981937408447,8.653097152709961,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
that,0,0,0,7.410778999328613,0,0,0,0,0,0,0,0,0,4.096685409545898,0,0,0,0,0,0
sits,0,0,0,7.339206218719482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
curled,0,0,0,6.7945170402526855,8.867344856262207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sleeping,0,0,0,6.619478225708008,8.316710472106934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
looking,0,0,0,0,8.229330062866211,0,0,0,7.43976354598999,5.051708698272705,0,0,0,0,0,0,0,0,0,0
on,0,0,0,0,6.841413497924805,11.605730056762695,0,0,0,0,0,0,0,6.3876190185546875,5.4733757972717285,5.638256072998047,0,4.846773147583008,0,0
in,0,0,0,0,0,10.427350044250488,0,0,7.894268035888672,4.4252495765686035,0,0,0,6.170904636383057,5.9577107429504395,5.886659622192383,5.366666793823242,5.3892035484313965,4.5445756912231445,4.487292766571045
next,0,0,0,0,0,9.29459285736084,0,0,9.23886489868164,0,0,0,0,4.688144683837891,0,0,0,0,0,0
and,3.8055059909820557,0,0,7.271220684051514,0,8.664090156555176,0,0,7.583799839019775,4.49493932723999,0,0,0,6.139029026031494,5.180384635925293,5.70513391494751,4.901682376861572,5.712942123413086,5.2270426750183105,0
inside,0,0,0,0,0,8.641127586364746,0,0,0,0,0,0,0,0,0,0,0,0,0,0
top,0,0,0,0,0,0,9.366497993469238,0,0,0,0,0,0,0,0,0,0,0,0,0
some,0,5.331809043884277,0,0,0,0,6.826832294464111,0,0,0,7.682173728942871,0,0,0,0,0,0,0,0,0
its,0,0,0,0,0,0,6.734369277954102,0,0,0,6.102396011352539,0,0,0,0,0,0,0,0,0
couch,0,0,0,0,0,0,0,7.389449596405029,0,0,0,0,0,0,0,0,0,0,0,0
bed,0,0,0,0,0,0,0,7.204620838165283,0,0,0,0,0,0,0,0,0,0,0,0
chair,3.349870443344116,0,0,0,0,0,0,7.001174449920654,0,0,0,0,0,0,0,0,0,0,0,0
rug,0,0,0,0,0,0,0,6.896791934967041,0,0,0,0,0,0,0,0,0,0,0,0
toilet,0,0,0,0,0,0,0,6.710484027862549,0,0,0,0,0,0,0,0,0,0,0,0
with,0,0,0,0,0,7.687116622924805,0,0,8.853179931640625,4.5304036140441895,0,0,0,5.056430339813232,5.962403774261475,5.517796993255615,0,5.4251861572265625,4.613406181335449,0
to,0,0,0,0,0,0,0,0,0,14.368592262268066,0,0,0,0,0,0,0,0,0,0
<end>,0,0,0,0,0,0,0,0,0,5.125131130218506,0,0,0,9.137624740600586,16.7480525970459,9.323629379272461,16.407705307006836,9.0814847946167,7.03272819519043,14.766366004943848
for,0,0,0,0,0,0,0,0,0,5.1181230545043945,0,0,0,0,0,0,0,0,0,0
another,0,0,0,0,0,0,0,0,0,0,6.810781478881836,0,0,0,0,0,0,0,0,0
his,0,0,0,0,0,0,6.504299163818359,0,0,0,6.665063858032227,0,0,0,0,0,0,0,0,0
stuffed,0,0,0,0,0,0,0,0,0,0,5.669394493103027,7.7991228103637695,0,0,0,0,0,0,0,0
person,0,0,0,0,0,0,0,0,0,0,0,6.9736833572387695,0,0,0,0,0,0,0,0
dog,0,0,7.250578880310059,0,0,0,0,0,0,0,0,6.50898551940918,6.734640598297119,4.0225396156311035,4.943992614746094,0,5.947167873382568,0,0,6.077639579772949
teddy,0,0,0,0,0,0,0,0,0,0,0,6.498047351837158,7.698995590209961,0,0,0,0,0,0,0
animal,0,0,0,0,0,0,0,0,0,0,0,0,10.020503044128418,0,0,0,0,0,0,0
bear,0,0,0,0,0,0,0,0,0,0,0,0,9.829980850219727,0,0,0,0,0,0,0
toy,0,0,0,0,0,0,0,0,0,0,0,0,7.981751441955566,4.249943733215332,0,0,0,0,0,0
bunny,0,0,0,0,0,0,0,0,0,0,0,0,6.972141265869141,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,4.974278450012207,0,0,0,10.302042961120605,8.435154914855957,9.600730895996094,7.672080993652344,9.05276870727539,7.5918869972229,6.760223865509033
<unk>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.276147842407227,0,6.013103008270264,4.69253396987915,5.632603168487549,5.588649272918701
are,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0893778800964355,0,5.911957263946533,4.8606085777282715,4.504975318908691
",",0,0,0,0,0,0,0,0,7.302912712097168,0,0,0,0,0,0,5.073797702789307,0,5.59937858581543,5.328935146331787,4.225980281829834
