,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
<start>,22.777545928955078,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cat,4.908304691314697,7.166013240814209,10.335700035095215,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dog,3.954819679260254,0,7.74151086807251,0,0,0,0,0,0,0,0,0,0,0,0,0,5.32020902633667,0,0,0
close,3.760082483291626,0,6.695030212402344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chair,3.6965343952178955,0,0,0,0,0,6.740094184875488,0,0,0,0,0,0,0,0,0,0,0,0,0
a,0,11.094915390014648,0,0,0,10.594541549682617,0,0,7.887312889099121,10.422138214111328,0,0,4.720739364624023,0,3.4956350326538086,3.8424079418182373,0,0,0,0
the,0,8.036989212036133,0,0,0,9.788691520690918,0,0,5.958707332611084,7.456913471221924,0,0,0,0,0,3.624955654144287,4.795149803161621,0,0,5.156683444976807
an,0,7.791200160980225,0,0,0,7.342157363891602,0,0,0,7.080842018127441,0,0,0,0,0,0,0,0,0,0
two,0,6.8185882568359375,0,0,0,0,0,0,0,5.247663974761963,0,0,0,0,0,0,0,0,0,0
black,0,6.065561771392822,8.462571144104004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
small,0,5.8303351402282715,8.296277046203613,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
large,0,5.232017517089844,7.883316993713379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitting,0,0,0,9.164896011352539,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is,3.1270132064819336,0,0,8.621132850646973,0,0,0,0,0,0,0,0,0,5.073156833648682,0,0,0,4.848526954650879,0,0
sits,0,0,0,8.357759475708008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
laying,0,0,0,7.925184726715088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
that,0,0,0,7.495286464691162,0,0,0,0,0,0,0,4.955524921417236,0,0,0,0,0,0,0,0
on,0,0,0,6.741232395172119,12.830962181091309,0,0,7.59987735748291,5.804876327514648,0,0,6.085280418395996,5.808152675628662,5.8557963371276855,4.376422882080078,4.940045356750488,0,5.2494378089904785,5.037511348724365,5.161048889160156
in,0,0,0,6.3675408363342285,10.90996265411377,0,0,9.098870277404785,5.8300299644470215,0,0,6.358919620513916,5.520168781280518,6.018075942993164,4.248542785644531,4.835907459259033,4.291930675506592,5.593286514282227,5.247605323791504,5.379392623901367
inside,0,0,0,0,9.4501371383667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
next,0,0,0,0,9.330613136291504,0,0,9.281012535095215,0,0,0,0,0,0,0,0,0,0,0,0
down,0,0,0,0,8.483348846435547,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
top,0,0,0,0,0,10.002032279968262,0,0,0,0,0,0,0,0,0,0,0,0,0,0
some,0,0,0,0,0,6.8198652267456055,0,0,0,8.051255226135254,0,0,0,0,0,0,0,0,0,0
bench,0,0,0,0,0,0,8.84530258178711,0,0,0,5.795041084289551,0,0,0,0,0,0,0,0,0
wooden,0,0,0,0,0,4.872376441955566,7.812646865844727,0,0,0,5.406023025512695,0,0,0,0,0,0,0,0,0
ledge,0,0,0,0,0,0,6.648305892944336,0,0,0,0,0,0,0,0,0,0,0,0,0
window,0,0,0,0,0,0,6.605634689331055,0,0,0,5.858509063720703,0,0,0,0,0,0,0,0,0
near,0,0,0,0,0,0,0,8.734413146972656,0,0,0,0,0,0,0,0,0,0,0,0
by,0,0,0,0,8.03586196899414,0,0,8.41028118133545,5.901468276977539,0,0,0,5.477023601531982,0,0,0,0,0,0,0
with,0,0,0,0,0,0,0,8.326415061950684,5.335135459899902,0,0,5.706244468688965,4.969416618347168,5.495518207550049,3.977156162261963,3.7509570121765137,0,4.760488033294678,4.229946136474609,0
to,0,0,0,0,0,0,0,0,15.86876106262207,0,0,0,0,0,0,0,0,0,4.325901031494141,4.885377407073975
for,0,0,0,0,0,0,0,0,5.896330833435059,0,0,0,0,0,0,0,0,0,0,0
another,0,0,0,0,0,0,0,0,0,6.509736061096191,0,0,0,0,0,0,0,0,0,0
car,0,0,0,0,0,0,6.6032185554504395,0,0,0,7.164220809936523,0,0,0,0,0,0,0,0,0
bike,0,0,0,0,0,0,0,0,0,0,6.4143757820129395,0,0,0,0,0,0,0,0,0
building,0,0,0,0,0,0,0,0,0,0,6.21618127822876,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,10.399738311767578,7.7003493309021,8.759910583496094,7.034666061401367,7.4872355461120605,6.451243877410889,7.960639953613281,7.376776218414307,8.217167854309082
<end>,0,0,0,0,0,0,0,0,0,0,0,9.913214683532715,18.00238037109375,9.63074779510498,7.627699375152588,7.300006866455078,15.020960807800293,9.132942199707031,7.962408065795898,8.214006423950195
and,0,0,0,0,7.486870288848877,0,0,7.0325469970703125,5.85592794418335,0,0,6.526674270629883,5.831045627593994,5.315854072570801,3.706238269805908,4.013525485992432,4.077854156494141,5.010626792907715,5.125789642333984,5.1640729904174805
