,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
<start>,24.09720802307129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
weighed,8.1676664352417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plateau,7.067288875579834,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
floaters,6.920320510864258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
judged,6.845751762390137,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,0,10.637334823608398,0,0,11.010913848876953,0,0,0,9.447883605957031,0,5.801680088043213,4.549338340759277,5.103503704071045,4.666269779205322,4.660258769989014,4.229589462280273,0,0,4.496079444885254,0
two,0,9.25389289855957,0,0,9.6724214553833,0,0,0,5.850767135620117,0,0,0,0,0,0,0,0,0,0,0
the,0,7.8608808517456055,0,0,0,0,0,0,6.563532829284668,0,5.743441581726074,0,4.309311866760254,4.449307918548584,4.725521087646484,4.588082313537598,4.653251647949219,0,4.901369571685791,4.937833786010742
three,0,7.53316068649292,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
some,0,7.238739490509033,0,0,0,0,0,0,0,0,5.481600284576416,0,0,0,0,0,0,0,0,0
man,0,0,9.366978645324707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
woman,0,0,9.100282669067383,0,9.106823921203613,10.925168991088867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
couple,0,0,8.144886016845703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group,0,0,8.068109512329102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
person,0,0,8.003920555114746,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
and,0,0,0,9.09641170501709,0,0,0,0,0,7.488711833953857,0,6.334380149841309,4.142030715942383,0,0,0,0,5.224001884460449,3.983138084411621,0
holding,0,0,0,7.874815940856934,0,0,0,7.5276265144348145,0,0,0,0,0,0,0,0,0,0,0,0
standing,0,0,0,7.751181602478027,0,0,7.3388237953186035,7.818014144897461,0,0,0,0,0,0,0,0,0,0,0,0
is,0,0,0,7.666938781738281,0,0,0,0,0,0,0,4.804980754852295,0,0,0,0,0,4.787799835205078,0,0
in,0,0,0,7.582307815551758,0,0,6.974306583404541,7.3320183753967285,6.441154479980469,9.056863784790039,0,6.18464469909668,4.741190433502197,4.770768165588379,4.54045295715332,4.47855281829834,0,4.838160037994385,4.754970073699951,4.935351371765137
girl,0,0,7.752445697784424,0,7.554356575012207,9.153712272644043,0,0,0,0,0,0,0,0,0,0,0,0,0,0
his,0,0,0,0,7.506259918212891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dog,0,0,0,0,7.350669860839844,9.75852108001709,0,0,0,0,5.930242538452148,0,0,0,0,0,5.292512893676758,0,0,0
child,0,0,0,0,6.970730304718018,9.39621639251709,0,0,0,0,0,0,0,0,0,0,0,0,0,0
horse,0,0,0,0,0,9.330240249633789,0,0,5.485680103302002,0,0,0,0,0,0,0,4.3473124504089355,0,0,0
are,0,0,0,0,0,0,8.8646240234375,0,0,0,0,6.080328941345215,0,0,0,0,0,4.59173059463501,0,0
leading,0,0,0,7.449807167053223,0,0,7.592854022979736,8.459607124328613,0,0,0,0,0,0,0,0,0,0,0,0
petting,0,0,0,0,0,0,7.5201029777526855,7.788153648376465,0,0,0,0,0,0,0,0,0,0,0,0
riding,0,0,0,7.233536243438721,0,0,7.483163356781006,9.049487113952637,0,0,0,0,0,0,0,0,0,0,0,0
on,0,0,0,7.263221740722656,0,0,6.961813449859619,7.876428127288818,8.550714492797852,8.586552619934082,4.790844917297363,6.164943218231201,4.518392086029053,4.45634651184082,0,0,0,4.3685622215271,3.8319714069366455,4.165160179138184
horses,0,0,0,0,0,0,0,0,10.209409713745117,0,5.092274188995361,0,4.573399543762207,4.867995738983154,4.92960786819458,4.852563858032227,0,0,0,0
their,0,0,0,0,0,0,0,0,8.128666877746582,0,0,0,0,0,0,0,0,0,0,0
an,0,6.427732944488525,0,0,6.85530948638916,0,0,0,7.716483116149902,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,9.501177787780762,5.629159450531006,7.778476238250732,6.526394367218018,7.542716026306152,7.642780303955078,7.752297401428223,6.6464524269104,8.148874282836914,6.688935279846191,7.779475688934326
<end>,0,0,0,0,0,0,0,0,0,8.222768783569336,14.88982105255127,8.463900566101074,6.992650032043457,7.676791667938232,7.643485069274902,7.56668758392334,14.859460830688477,8.628310203552246,6.986227989196777,7.450797080993652
one,0,0,0,0,0,0,0,0,0,0,7.0003981590271,0,0,0,0,0,4.369227409362793,0,0,0
to,0,0,0,0,0,0,0,0,0,0,0,0,0,5.350705146789551,5.4610490798950195,5.506701469421387,0,4.59467887878418,4.588856220245361,5.816036701202393
",",0,0,0,0,0,0,0,0,0,0,0,5.151123523712158,4.163651466369629,4.669354438781738,4.908181667327881,5.133084774017334,0,6.518676280975342,5.189169883728027,5.553128719329834
'',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.0034708976745605,0,0,0
they,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.154383182525635,0,0,0
<unk>,0,0,0,0,0,0,0,0,0,0,0,0,4.5366668701171875,4.525871753692627,4.572513580322266,4.35673189163208,4.719602584838867,0,4.784978866577148,4.544314384460449
