,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
<start>,25.075292587280273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
motion,5.107634544372559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
emirates,4.94231653213501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
'',4.861048698425293,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.194461345672607
arrow,4.6973466873168945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,0,9.783377647399902,0,0,11.2611665725708,0,13.357747077941895,0,0,0,6.431962966918945,5.252990245819092,0,0,0,0,0,0,0,0
the,0,7.57473611831665,0,0,0,0,10.183561325073242,0,0,0,0,0,0,6.176522731781006,0,0,0,0,0,0
two,0,6.737179279327393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
an,0,6.509119510650635,0,0,0,0,8.058526992797852,0,0,0,0,0,0,0,0,0,0,0,0,0
there,0,5.565210342407227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
person,0,0,8.873680114746094,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
man,0,0,8.474437713623047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
snowboarder,0,0,6.910253524780273,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skateboarder,0,0,6.909470081329346,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
couple,0,0,6.424279689788818,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
riding,0,0,0,9.856169700622559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
on,0,0,0,9.2674560546875,8.564029693603516,11.15444278717041,0,0,0,0,0,0,5.546511173248291,0,5.785773754119873,5.3234477043151855,0,0,6.208232402801514,0
jumping,0,0,0,8.9625883102417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
doing,0,0,0,8.923877716064453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is,0,0,0,8.905935287475586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skis,0,0,0,0,11.927435874938965,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
down,0,0,0,0,7.817852973937988,10.446138381958008,0,0,0,0,0,0,0,0,0,0,0,0,0,0
skate,0,0,0,0,7.52278995513916,0,0,8.139557838439941,0,0,0,0,0,0,0,0,0,0,0,0
in,0,0,0,0,0,9.689291954040527,0,0,0,7.724303245544434,5.614927291870117,6.605769634246826,6.723398208618164,6.681869983673096,5.897819519042969,5.61387300491333,6.093474864959717,6.562422275543213,6.751944065093994,0
with,0,0,0,0,0,8.198687553405762,0,0,0,0,4.731969833374023,0,0,0,0,0,0,0,0,0
while,0,0,0,0,0,7.881376266479492,0,0,0,0,0,0,0,0,0,0,0,0,0,0
top,0,0,0,0,0,0,11.60712718963623,0,0,0,0,0,0,0,0,0,0,0,0,0
their,0,0,0,0,0,0,7.502012729644775,0,0,0,0,0,0,0,0,0,0,0,0,0
snowy,0,0,0,0,0,0,0,10.600738525390625,0,0,0,0,0,0,0,0,0,0,0,0
snow,0,0,0,0,0,0,0,10.107865333557129,0,0,0,0,0,0,0,0,0,0,0,0
ski,0,0,0,0,0,0,0,8.705869674682617,0,0,0,0,0,0,0,0,0,0,0,0
slope,0,0,0,0,0,0,0,7.693023681640625,10.3475341796875,0,0,0,0,0,0,0,0,0,0,0
surface,0,0,0,0,0,0,0,0,13.003204345703125,0,0,0,0,0,0,0,0,0,0,0
mountain,0,0,0,0,0,0,0,0,9.909563064575195,0,0,0,0,0,0,0,0,0,0,0
ground,0,0,0,0,0,0,0,0,9.678557395935059,0,0,0,0,0,0,0,0,0,0,0
hill,0,0,0,0,0,0,0,0,9.472862243652344,0,0,0,0,0,0,0,0,0,0,0
<end>,0,0,0,0,0,0,0,0,0,11.562129974365234,8.386054039001465,8.324066162109375,8.562021255493164,17.371692657470703,10.129112243652344,8.869784355163574,8.897384643554688,9.427008628845215,9.667110443115234,17.151744842529297
.,0,0,0,0,0,0,0,0,0,9.345500946044922,8.063789367675781,8.196573257446289,8.698277473449707,9.156831741333008,9.563685417175293,8.36683177947998,8.852286338806152,9.391456604003906,9.736367225646973,9.148313522338867
of,0,0,0,0,0,0,0,0,0,8.022591590881348,0,0,0,0,0,0,0,0,0,0
near,0,0,0,0,0,0,0,0,0,7.518868446350098,0,0,0,0,0,0,0,0,0,0
to,0,0,0,0,0,0,0,0,0,0,0,6.065872669219971,6.299661159515381,0,0,0,5.481499195098877,6.099001884460449,0,0
and,0,0,0,0,0,0,0,0,0,0,0,0,0,6.644115924835205,6.024129390716553,5.642604827880859,5.742946624755859,6.186681747436523,6.3537445068359375,6.603803634643555
it,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.6140031814575195
