,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
<start>,22.64341926574707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
look,5.394266128540039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
take-off,4.957479000091553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
this,4.733386516571045,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
know,4.685983657836914,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,0,9.915194511413574,0,0,0,0,8.752169609069824,0,0,0,0,0,0,0,0,0,0,0,0,6.670827865600586
some,0,7.4035468101501465,0,0,0,0,7.816126823425293,0,0,0,0,0,0,0,0,0,0,0,0,0
the,0,7.103349685668945,0,0,0,0,0,0,0,0,0,0,0,6.3538641929626465,0,0,5.9854817390441895,0,0,4.807809352874756
two,0,7.015390872955322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
an,0,6.617254734039307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plate,0,0,10.204694747924805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
white,0,0,8.973589897155762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.611077785491943
close,0,0,8.343769073486328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bowl,0,0,7.772577285766602,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meal,0,0,7.726539134979248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
of,0,0,0,12.09654712677002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
with,0,0,0,11.05202579498291,0,10.331549644470215,0,6.95102596282959,0,0,0,0,0,5.478553771972656,0,0,0,0,0,0
full,0,0,0,9.820724487304688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filled,0,0,0,9.713479042053223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
that,0,0,0,9.606386184692383,0,9.982354164123535,0,0,0,0,0,0,0,0,0,0,0,0,0,0
food,0,0,0,0,11.284855842590332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meat,0,0,0,0,9.119171142578125,0,9.080206871032715,0,0,0,0,0,0,0,0,0,0,0,0,0
chicken,0,0,0,0,8.970919609069824,0,7.619919776916504,0,0,0,0,0,0,0,0,0,0,0,0,0
vegetables,0,0,0,0,8.407692909240723,0,0,0,10.3309326171875,0,0,0,0,0,0,0,0,0,0,0
rice,0,0,0,0,8.218235969543457,0,0,0,8.408808708190918,0,0,0,0,0,0,0,0,0,0,0
on,0,0,0,0,0,9.347636222839355,0,8.43582534790039,0,10.048320770263672,6.9415130615234375,6.440374851226807,5.583866596221924,0,5.2613654136657715,0,0,4.566342830657959,0,0
and,0,0,0,0,0,9.175787925720215,0,11.768135070800781,0,8.927571296691895,6.2483673095703125,6.395079135894775,6.928378582000732,6.960091590881348,6.564159870147705,7.168199062347412,7.565188884735107,6.4980316162109375,6.997175693511963,0
is,0,0,0,0,0,8.749396324157715,0,0,0,0,0,0,0,0,0,0,0,0,4.930844306945801,0
broccoli,0,0,0,0,0,0,7.736148357391357,0,9.180112838745117,0,0,0,0,0,0,0,0,0,0,0
",",0,0,0,0,0,0,0,10.783059120178223,0,0,0,0,0,0,0,4.868557929992676,5.974342346191406,0,4.9485931396484375,0
sauce,0,0,0,0,0,0,0,6.732908725738525,0,0,0,0,0,0,0,0,0,0,0,0
potatoes,0,0,0,0,0,0,0,0,8.95363712310791,0,0,0,0,0,0,0,0,0,0,0
carrots,0,0,0,0,0,0,0,0,8.605981826782227,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,10.459192276000977,7.000672340393066,9.438957214355469,8.731827735900879,6.967194080352783,8.409163475036621,7.576463222503662,6.28989839553833,7.424471855163574,6.97764253616333,0
<end>,0,0,0,0,0,0,0,0,0,9.371885299682617,15.779385566711426,9.845473289489746,8.085204124450684,15.640214920043945,9.182953834533691,7.285167217254639,14.67293930053711,8.1748685836792,6.917262077331543,0
in,0,0,0,0,0,0,0,0,0,8.697410583496094,0,5.920008659362793,5.4559149742126465,0,5.170140743255615,4.869857311248779,0,0,0,0
it,0,0,0,0,0,0,0,0,0,0,6.2730913162231445,0,0,0,0,0,0,0,0,0
to,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.731566905975342,0,0
other,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.714733123779297
<unk>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0446553230285645
