,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
<start>,21.64180756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dog,4.124401093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in,3.49363184,0,0,0,0,0,0,0,0,0,0,0,0,6.292913914,0,0,0,0,0,0
on,3.316376209,0,0,0,0,8.872408867,0,0,9.313474655,0,0,10.1636343,6.127414227,7.230714321,4.705251217,5.695525646,5.688693047,5.861844063,5.811347485,5.656445026
",",3.248831511,0,0,0,0,0,0,0,9.302558899,0,0,0,0,0,0,0,0,0,0,0
a,0,9.395390511,0,0,0,0,9.101385117,0,0,8.651127815,0,0,0,0,0,0,0,0,0,0
the,0,6.837560177,0,0,0,0,0,0,0,0,0,0,5.896805286,0,0,0,0,5.272762299,0,0
there,0,6.411578178,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
two,0,6.346867561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
an,0,6.181329727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
plate,0,0,7.238705635,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bowl,0,0,6.212855816,0,0,0,0,6.755703449,0,0,0,0,0,0,0,0,0,0,0,0
close,0,0,5.974593639,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
man,0,0,5.951288223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pizza,0,0,5.916506767,0,6.608250618,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
of,0,0,0,11.38607693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
with,0,0,0,11.03934765,0,10.34256268,0,0,7.948538303,0,0,8.073260307,0,6.44589138,0,0,0,0,0,0
topped,0,0,0,9.521410942,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
that,0,0,0,9.497777939,0,8.917738914,0,0,0,0,0,0,0,0,0,0,0,0,0,0
filled,0,0,0,8.727778435,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
food,0,0,0,0,9.767103195,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
meat,0,0,0,0,6.665778637,0,8.281163216,0,0,0,0,0,0,0,0,0,0,0,0,0
chicken,0,0,0,0,6.51582098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
eggs,0,0,0,0,6.45635128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
and,0,0,0,0,0,8.954915047,0,0,10.66948795,0,0,7.702126503,0,0,0,0,5.560040951,5.772575855,5.677719116,5.58462286
is,0,0,0,0,0,8.495038033,0,0,0,0,0,0,0,0,0,0,0,0,0,0
broccoli,0,0,0,0,0,0,7.999705791,0,0,0,0,0,0,0,0,0,0,0,0,0
some,0,0,0,0,0,0,7.809120178,0,0,0,0,0,0,0,0,0,0,0,0,0
rice,0,0,0,0,0,0,7.313361168,0,0,0,0,0,0,0,0,0,0,0,0,0
sandwich,0,0,0,0,0,0,0,8.536437035,0,0,0,0,0,0,0,0,0,0,0,0
fork,0,0,0,0,0,0,0,8.431342125,0,0,0,0,0,0,0,0,0,0,0,0
spoon,0,0,0,0,0,0,0,7.122153282,0,0,0,0,0,0,0,0,0,0,0,0
variety,0,0,0,0,0,0,0,6.796673775,0,0,0,0,0,0,0,0,0,0,0,0
next,0,0,0,0,0,0,0,0,8.110297203,0,0,0,0,0,0,0,0,0,0,0
french,0,0,0,0,0,0,0,0,0,9.328953743,0,0,0,0,0,0,0,0,0,0
fries,0,0,0,0,0,0,0,0,0,8.959059715,13.8418417,0,0,0,4.460130692,5.299958229,5.060354233,0,0,0
chips,0,0,0,0,0,0,0,0,0,8.956091881,0,0,0,0,0,0,0,0,0,0
potato,0,0,0,0,0,0,0,0,0,8.265234947,8.351089478,0,0,0,0,0,0,0,0,0
toast,0,0,0,0,0,0,0,0,0,0,10.15834332,0,0,0,0,0,0,0,0,0
bread,0,0,0,0,0,0,0,0,0,0,8.680487633,0,0,0,0,0,0,0,0,0
potatoes,0,0,0,0,0,0,0,0,0,0,8.630767822,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,0,12.90962505,7.98341465,9.22684288,6.659199238,7.722651958,8.038526535,8.408756256,8.489485741,8.545099258
<end>,0,0,0,0,0,0,0,0,0,0,0,10.88970566,16.14610481,10.13616943,7.628637314,8.366081238,8.489861488,8.718296051,8.605043411,8.473935127
it,0,0,0,0,0,0,0,0,0,0,0,0,6.789651394,0,4.843374252,5.27338028,0,0,0,0
to,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.483747482,5.806493759
