,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
<start>,22.448930740356445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
view,4.058383464813232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
highway,3.5439085960388184,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
one,3.2851409912109375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
to,3.103203296661377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,0,10.628857612609863,0,0,11.038249969482422,0,0,0,9.092302322387695,0,11.203414916992188,0,0,0,5.721012592315674,6.077366352081299,6.505067348480225,5.592494010925293,6.691098690032959,5.998118877410889
two,0,9.262296676635742,0,0,9.43861198425293,0,0,0,0,0,5.019192695617676,0,0,0,0,0,0,0,0,0
three,0,8.052797317504883,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the,0,7.814179420471191,0,0,0,0,0,0,7.273693084716797,0,10.54171085357666,0,0,0,4.790172576904297,4.721765995025635,5.851955890655518,4.428051471710205,6.704080581665039,4.834813117980957
some,0,7.161118507385254,0,0,0,0,0,0,0,0,6.029415130615234,0,0,0,0,0,0,0,0,4.023807048797607
man,0,6.927727699279785,10.737479209899902,0,0,8.727965354919434,0,0,0,0,0,0,0,0,0,0,0,0,0,0
woman,0,0,9.689385414123535,0,9.602341651916504,11.109128952026367,0,0,0,0,0,0,0,0,0,0,0,0,0,0
group,2.7605199813842773,0,9.47565746307373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
couple,0,0,9.244112014770508,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
horse,0,0,9.114498138427734,0,7.797916412353516,9.743370056152344,0,0,7.290977478027344,0,5.305243968963623,7.941566467285156,0,0,0,0,0,0,0,0
and,0,0,0,8.813861846923828,0,0,0,0,5.319570541381836,8.524462699890137,0,0,0,0,5.941290378570557,0,5.860992908477783,0,6.07216215133667,3.9932055473327637
is,0,0,0,8.458209991455078,0,0,0,0,0,0,0,0,0,0,0,0,5.960287094116211,3.9145703315734863,6.949888706207275,4.494255065917969
standing,0,0,0,8.107808113098145,0,0,7.4195756912231445,8.486312866210938,0,0,0,0,0,0,0,0,0,0,0,0
in,0,0,0,8.04914665222168,0,0,7.3878703117370605,7.522243499755859,7.327539920806885,9.712959289550781,0,0,0,7.2936859130859375,5.883885860443115,4.622405529022217,5.047843933105469,4.615927696228027,0,4.541168212890625
riding,0,0,0,7.984560489654541,0,0,7.407230854034424,9.343022346496582,0,0,0,0,0,0,0,0,0,0,0,0
his,0,0,0,0,8.453697204589844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
dog,0,0,7.664473533630371,0,7.596794128417969,10.613861083984375,0,0,0,0,0,0,0,0,0,0,0,0,0,0
baby,0,0,0,0,7.220864295959473,9.818625450134277,0,0,0,0,0,0,0,0,0,0,0,0,0,0
child,0,0,0,0,7.597054481506348,9.555925369262695,0,0,0,0,0,0,0,0,0,0,0,0,0,0
are,0,0,0,0,0,0,8.707171440124512,0,0,0,0,0,0,0,0,0,0,0,0,0
petting,0,0,0,0,0,0,7.803772926330566,7.498420238494873,0,0,0,0,0,0,0,0,0,0,0,0
ride,0,0,0,0,0,0,7.47298002243042,0,0,0,0,0,0,0,0,0,0,0,0,0
playing,0,0,0,0,0,0,7.007377624511719,8.341092109680176,0,0,0,0,0,0,0,0,0,0,0,0
sitting,0,0,0,0,0,0,0,7.963237285614014,0,0,0,0,0,0,0,0,0,0,0,0
on,0,0,0,0,0,0,0,7.768520832061768,8.769767761230469,9.871463775634766,0,0,0,0,0,0,0,3.900315046310425,0,4.003942012786865
horses,0,0,0,0,0,0,0,0,10.511981010437012,0,7.528347492218018,0,0,0,0,4.281548023223877,0,0,0,0
their,0,0,0,0,0,0,0,0,7.4929890632629395,0,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,9.093159675598145,0,0,0,12.369601249694824,8.347689628601074,8.288294792175293,6.768493175506592,7.291715621948242,5.3259077072143555,5.452455520629883
<end>,0,0,0,0,0,0,0,0,0,8.139277458190918,0,0,0,10.341279983520508,16.616668701171875,6.902431964874268,15.908645629882812,6.640583515167236,14.92976188659668,5.598476409912109
top,0,0,0,0,0,0,0,0,0,0,7.807416915893555,0,0,0,0,0,0,0,0,0
an,0,6.8915252685546875,0,0,7.269798755645752,0,0,0,7.3039350509643555,0,7.6378960609436035,0,0,0,0,0,0,0,0,0
grassy,0,0,0,0,0,0,0,0,0,0,0,9.022473335266113,0,0,0,0,0,0,0,0
field,0,0,0,0,0,0,0,0,0,0,0,8.973153114318848,11.026962280273438,0,0,0,0,0,0,0
farm,0,0,0,0,0,0,0,0,0,0,0,8.314558029174805,0,0,0,0,0,0,0,0
beach,0,0,0,0,0,0,0,0,0,0,0,8.115212440490723,0,0,0,0,0,0,0,0
path,0,0,0,0,0,0,0,0,0,0,0,7.739892482757568,9.054938316345215,0,0,0,0,0,0,0
area,0,0,0,0,0,0,0,0,0,0,0,0,8.64456558227539,0,0,0,0,0,0,0
road,3.006855010986328,0,0,0,0,0,0,0,0,0,0,7.4835615158081055,8.194313049316406,0,0,0,0,0,0,0
hill,0,0,0,0,0,0,0,0,0,0,0,0,8.138181686401367,0,0,0,0,0,0,0
with,0,0,0,7.554889678955078,0,0,6.786127090454102,0,0,7.589130401611328,0,0,0,8.34839153289795,5.6295976638793945,3.7060368061065674,5.561924934387207,3.7308847904205322,5.540460586547852,0
near,0,0,0,0,0,0,0,0,0,6.924158096313477,0,0,0,7.464582920074463,4.781318187713623,0,0,0,0,0
by,0,0,0,0,0,0,0,0,0,0,0,0,0,7.375643253326416,0,0,0,0,0,0
over,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.732392311096191,0,0,0,0,0
