,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
<start>,31.00164031982422,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
thatch,5.2078857421875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bridge,4.301392555236816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bunch,4.089130878448486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
batches,4.045678615570068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a,0,10.683754920959473,0,0,0,11.988139152526855,0,0,10.466669082641602,0,0,0,0,0,0,0,0,0,0,0
two,0,8.85104751586914,0,0,0,0,0,0,7.7737836837768555,0,0,0,0,0,0,0,0,0,0,0
three,0,7.578104019165039,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
the,0,7.554681301116943,0,0,0,10.273069381713867,0,0,0,0,0,0,0,0,0,0,0,0,0,0
people,0,6.968161106109619,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
woman,0,0,10.406134605407715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
man,0,0,10.272679328918457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
person,0,0,9.243865013122559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
couple,0,0,9.048624992370605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
young,0,0,8.85590934753418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
sitting,0,0,0,9.41623306274414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
is,0,0,0,8.851223945617676,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
in,0,0,0,8.232820510864258,10.53565788269043,0,0,8.896366119384766,0,0,8.053765296936035,6.420164585113525,6.4269609451293945,6.325224876403809,6.378033638000488,6.4271063804626465,6.104206085205078,5.468372344970703,5.59425687789917,0
and,0,0,0,8.228273391723633,0,0,0,0,0,0,8.179244995117188,7.388460159301758,6.541478633880615,6.592716217041016,0,7.252519130706787,6.50251579284668,5.134881973266602,0,6.504230499267578
holding,0,0,0,7.698218822479248,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
on,0,0,0,0,12.912328720092773,0,0,8.292657852172852,0,0,8.221805572509766,6.707963466644287,5.829232215881348,5.924688339233398,6.230584144592285,6.306029796600342,6.209784984588623,5.0529890060424805,0,0
down,0,0,0,0,9.257708549499512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
next,0,0,0,0,8.621708869934082,0,0,8.319232940673828,0,0,0,0,0,0,0,0,0,0,0,0
at,0,0,0,0,8.447935104370117,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
top,0,0,0,0,0,10.411867141723633,0,0,0,0,0,0,0,0,0,0,0,0,0,0
her,0,0,0,0,0,8.375134468078613,0,0,10.510970115661621,0,0,0,0,0,7.241814613342285,0,0,0,5.972958087921143,0
an,0,0,0,0,0,7.240188121795654,0,0,7.830588340759277,0,0,0,0,0,0,0,0,0,0,0
bench,0,0,0,0,0,0,9.343173027038574,0,0,0,0,0,0,0,0,0,0,0,0,0
bed,0,0,0,0,0,0,9.063470840454102,0,0,0,0,0,0,0,0,0,0,0,0,0
couch,0,0,0,0,0,0,8.62491226196289,0,0,0,0,0,0,0,0,0,0,0,0,0
chair,0,0,0,0,0,0,8.086346626281738,0,0,0,0,0,0,0,0,0,0,0,0,0
wooden,0,0,0,0,0,0,7.848794460296631,0,0,0,0,0,0,0,0,0,0,0,0,0
with,0,0,0,0,0,0,0,9.722782135009766,0,0,0,0,0,0,0,0,0,0,0,0
while,0,0,0,0,0,0,0,8.219221115112305,0,0,0,0,0,0,0,0,0,0,0,0
his,0,0,0,0,0,0,0,0,7.047949314117432,0,0,0,0,0,0,0,0,0,0,0
dog,0,0,0,0,0,0,0,0,0,8.668415069580078,0,0,0,0,0,0,0,0,0,0
hands,0,0,0,0,0,0,0,0,0,7.156299114227295,0,0,0,0,0,0,0,0,0,0
legs,0,0,0,0,0,0,0,0,0,7.126067638397217,0,0,0,0,0,0,0,0,0,0
leg,0,0,0,0,0,0,0,0,0,7.073446273803711,0,0,0,0,0,0,0,0,0,0
feet,0,0,0,0,0,0,0,0,0,7.043597221374512,0,0,0,0,0,0,0,0,0,0
.,0,0,0,0,0,0,0,0,0,0,9.714098930358887,7.608612060546875,9.31842041015625,8.437762260437012,8.926233291625977,8.84367847442627,9.579155921936035,7.817106246948242,8.019893646240234,8.447522163391113
<end>,0,0,0,0,0,0,0,0,0,0,8.476882934570312,16.489091873168945,9.915983200073242,8.586833953857422,8.609207153320312,16.884136199951172,10.000603675842285,7.898350715637207,7.653872489929199,16.143877029418945
to,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.542019367218018,0
it,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.810842514038086
'',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.394165515899658
